generation,length,examples,loss,accuracy,current_max_length,attention_top_k,active_heads,active_head_indices,checkpoint
10000,200,256,0.06135052000172436,0.99609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,400,256,0.018024812074145302,0.99609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,600,64,0.001789370784536004,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,800,64,0.14109814167022705,0.96875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,1000,64,0.006763185374438763,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,1500,64,0.4718133807182312,0.9375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,2000,64,0.7505840863761932,0.921875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,2500,64,0.31254269927740097,0.953125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,3000,64,0.823695033788681,0.921875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,3500,64,0.3510360554791987,0.953125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,4000,64,0.17589811670723066,0.953125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,4500,64,0.2844697492546402,0.9375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,5000,64,0.40363286808133125,0.953125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
11000,2,256,0.001187399888294749,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,5,256,0.0014423572138184682,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,10,256,0.0012323558621574193,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,20,256,0.0010064555535791442,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,40,256,0.0011753545404644683,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,80,256,0.001154318466433324,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,100,256,0.0010149966547032818,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,200,256,0.028013875271426514,0.99609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,400,256,0.0010424568463349715,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,600,64,0.5147348046302795,0.953125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,800,64,0.05685596168041229,0.984375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
11000,1000,64,0.2172134667634964,0.984375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_011000.pt
